,MOF,gas,ppm,rep_id,slope,saturation,auc
74,Cu-HHTP,H2S,80,0,1.3718035150149086,92.84456202077546,160303.8725241188
75,Cu-HHTP,H2S,80,1,1.863232093077385,96.86276751898828,170569.16266842972
76,Cu-HHTP,H2S,80,2,1.3019834223439801,91.64789424079328,158413.17322332534
77,Cu-HHTP,H2S,80,3,0.9190349024987339,80.93518718565014,132261.82400274498
78,Ni-HHTP,H2S,5,0,0.07205367941153479,45.52389069452313,55375.195182435324
79,Ni-HHTP,H2S,5,1,0.057725102631120476,47.72700452870634,53860.62170447068
80,Ni-HHTP,H2S,5,2,0.07668347349758937,46.87428779429285,55161.68561471386
81,Ni-HHTP,H2S,5,3,0.08696393398811132,49.11979721971821,57692.559524845376
82,Ni-HHTP,H2S,10,0,0.032593213441121496,36.62455533998262,36036.367742465634
83,Ni-HHTP,H2S,10,1,0.03961741123942857,41.955751882707965,44365.23008611014
84,Ni-HHTP,H2S,10,2,0.04305467575945964,43.173146477724444,46770.18935982445
85,Ni-HHTP,H2S,10,3,0.04095247447144965,43.98212180597666,47852.468937437014
86,Ni-HHTP,H2S,20,0,0.10554250958007447,37.0402444414941,47735.384025986496
87,Ni-HHTP,H2S,20,1,0.10875622020797551,41.78251846547587,53571.27186375803
88,Ni-HHTP,H2S,20,2,0.09828302537121976,37.79285910818963,48031.235419539764
89,Ni-HHTP,H2S,40,0,0.22782849897227453,84.71275830594654,118983.08144532566
90,Ni-HHTP,H2S,40,1,0.20948530841341365,80.08383623000694,113501.76069557221
91,Ni-HHTP,H2S,40,2,0.2508478489470472,86.05727140032474,122843.1622262051
92,Ni-HHTP,H2S,40,3,0.23213308325298387,83.37771404371917,117101.45747486921
93,Ni-HHTP,H2S,80,0,0.27066795858237064,58.422293731561126,77193.0655592966
94,Ni-HHTP,H2S,80,1,0.3206311797000809,57.808139191207516,79909.79161917872
95,Ni-HHTP,H2S,80,2,0.4200637898879567,62.26243171225914,89169.10398460666
96,Ni-HHTP,H2S,80,3,0.4619280872328491,65.2351580629308,93310.7748715985
97,Zn-HHTP,H2S,5,0,-0.0004515265858720763,-0.4827181945744494,-554.1924931008659
98,Zn-HHTP,H2S,5,1,-0.000504068683813843,-0.41249538478386616,-449.84797685106133
99,Zn-HHTP,H2S,5,2,-0.0014041335834233237,-0.4602195497394565,-583.7820177916926
100,Zn-HHTP,H2S,5,3,-0.0009376814820291621,-0.8693995679033183,-902.412513751372
101,Zn-HHTP,H2S,10,0,0.0003597575140992881,0.312927400969136,165.97950930191135
102,Zn-HHTP,H2S,10,1,0.0006869158538063074,0.16842746804166994,47.60802770338198
103,Zn-HHTP,H2S,10,2,0.0010524757260074904,1.2701325650550501,1043.424479321351
104,Zn-HHTP,H2S,10,3,0.001006727428489249,1.1827150620242781,907.0026861564825
105,Zn-HHTP,H2S,20,0,0.009761886347631836,8.271897520099545,9020.049483272585
106,Zn-HHTP,H2S,20,1,0.009517410028623576,8.135348303374279,9143.62884150285
107,Zn-HHTP,H2S,20,2,0.010772362747735935,8.504667450157548,9556.634943754842
108,Zn-HHTP,H2S,20,3,0.009961809716801835,7.999298081784417,9243.538726313645
109,Zn-HHTP,H2S,40,0,0.03115226763533842,14.684704276480058,17143.52500888358
110,Zn-HHTP,H2S,40,1,0.03585310736943678,14.704544090150193,16936.19981470357
111,Zn-HHTP,H2S,40,2,0.03776094581693961,14.894796061602214,17640.77950048206
112,Zn-HHTP,H2S,40,3,0.029233623231796266,15.045199263347538,17783.975708131627
113,Zn-HHTP,H2S,80,0,0.049151101551878136,15.319440926664889,18676.207480414036
114,Zn-HHTP,H2S,80,1,0.04496293376705318,14.971348811034996,18408.025477343544
115,Zn-HHTP,H2S,80,2,0.042496361884671936,14.361472596294492,17616.83506316934
116,Zn-HHTP,H2S,80,3,0.0433281872902725,14.900667708615938,18590.460970136846
117,Cu-HHTP,NO,5,0,-0.11323319300766378,-59.786183679403585,-62230.666740412475
118,Cu-HHTP,NO,5,1,-0.10904965784220598,-71.1557025528436,-69744.02839811046
119,Cu-HHTP,NO,5,2,-0.12678784643633498,-64.9086666293693,-67625.86544413882
120,Cu-HHTP,NO,5,3,-0.12696321376040837,-66.93281116931618,-67525.86814635177
121,Cu-HHTP,NO,5,4,-0.12584588877084113,-64.48010528452296,-65459.75085282803
122,Cu-HHTP,NO,10,0,-0.392452920923563,-77.59104665655397,-106128.46733813375
123,Cu-HHTP,NO,10,1,-0.2280896468712423,-89.7510973858683,-118650.81523461043
124,Cu-HHTP,NO,10,2,-0.2445530527240766,-88.14613653793802,-117231.37537485991
125,Cu-HHTP,NO,10,3,-0.11050132689770596,-41.827278288611325,-55532.636073771544
126,Cu-HHTP,NO,20,0,-0.47322579992068775,-69.13974555113734,-81481.58001854394
127,Cu-HHTP,NO,20,1,-0.5234258500338933,-71.17972704480023,-83882.5511082694
128,Cu-HHTP,NO,20,2,-0.4562967263444765,-72.27042722192853,-86774.96832222355
129,Cu-HHTP,NO,20,3,-0.45820883178709376,-70.34067038539725,-81553.08279640862
130,Cu-HHTP,NO,20,4,-0.46170951083730427,-73.73854423725317,-85235.9771055521
131,Cu-HHTP,NO,40,0,-1.6830106972317653,-64.42555439981966,-73833.32273421764
132,Cu-HHTP,NO,40,1,-1.6967167010769795,-71.42673732727334,-82754.37840700995
133,Cu-HHTP,NO,40,2,-1.4824203273542254,-73.79228427579972,-88335.28485030611
134,Cu-HHTP,NO,40,3,-1.1040698754584506,-86.81245952656029,-119015.87216618803
135,Cu-HHTP,NO,40,4,-1.050954043794859,-77.70413809859454,-104163.46231431965
136,Cu-HHTP,NO,80,0,-2.579645391653426,-102.47455146554839,-128490.617994431
137,Cu-HHTP,NO,80,1,-2.535391335899727,-106.5780575431328,-134726.7072037717
138,Cu-HHTP,NO,80,2,-2.5840136285470567,-105.81852317363602,-137599.21979016936
139,Cu-HHTP,NO,80,3,-2.3709140583831982,-103.67640186416787,-142131.57862818986
140,Cu-HHTP,NO,80,4,-2.4467153782634656,-107.66860919674605,-141866.40055459554
141,Ni-HHTP,NO,5,0,-0.038200786445395554,-44.234330505259464,-37300.00470148508
142,Ni-HHTP,NO,5,1,-0.02835943730895652,-35.09480733300037,-28610.833231588887
143,Ni-HHTP,NO,5,2,-0.024292658569241548,-32.64902529134747,-25957.501706953582
144,Ni-HHTP,NO,5,3,-0.0247084461677294,-28.015925466406475,-21782.830025312833
145,Ni-HHTP,NO,10,0,-0.028515356542607777,-25.124250790569405,-20404.54590119911
146,Ni-HHTP,NO,10,1,-0.026705825346753424,-19.34747788403807,-15578.210708801462
147,Ni-HHTP,NO,10,2,-0.02824672411832304,-22.578671509261664,-18365.084647279746
148,Ni-HHTP,NO,10,3,-0.02582612692716303,-19.28122386769977,-15294.69002254419
