,MOF,gas,ppm,folder,rep_id,batch,slope,saturation,auc,mean,Cu-1,Ni-1,Ni-2,Ni-3,Ni-4,Ni-5,Zn-1
45,Zn-HHTP,H2S,5,batch_2,3,Zn-1,-0.0009376814820291621,-0.8693995679033183,-902.412513751372,[-0.20952839 -0.55359825 -0.74054376],0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,Zn-HHTP,H2S,10,batch_2,0,Zn-1,0.0003597575140992881,0.312927400969136,165.97950930191135,[0.00015408 0.15293439 0.12362534],0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,Zn-HHTP,H2S,10,batch_2,1,Zn-1,0.0006869158538063074,0.16842746804166994,47.60802770338198,[-0.03985187  0.08419177  0.03505362],0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,Zn-HHTP,H2S,10,batch_2,2,Zn-1,0.0010524757260074904,1.2701325650550501,1043.424479321351,[0.09779644 0.65617885 0.98517652],0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,Zn-HHTP,H2S,10,batch_2,3,Zn-1,0.001006727428489249,1.1827150620242781,907.0026861564825,[0.0544236  0.55546106 0.90185501],0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,Zn-HHTP,H2S,20,batch_2,0,Zn-1,0.009761886347631836,8.271897520099545,9020.049483272585,[2.12852432 5.45398055 7.45071717],0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,Zn-HHTP,H2S,20,batch_2,1,Zn-1,0.009517410028623576,8.135348303374279,9143.62884150285,[2.23682643 5.56835269 7.43400212],0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,Zn-HHTP,H2S,20,batch_2,2,Zn-1,0.010772362747735935,8.504667450157548,9556.634943754842,[2.37173503 5.80823775 7.747552  ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,Zn-HHTP,H2S,20,batch_2,3,Zn-1,0.009961809716801835,7.999298081784417,9243.538726313645,[2.29704612 5.67325758 7.4353742 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,Zn-HHTP,H2S,40,batch_2,0,Zn-1,0.03115226763533842,14.684704276480058,17143.52500888358,[ 4.93081049 10.27706147 13.36372408],0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,Zn-HHTP,H2S,40,batch_2,1,Zn-1,0.03585310736943678,14.704544090150193,16936.19981470357,[ 4.74815998 10.17912744 13.29907383],0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,Zn-HHTP,H2S,40,batch_2,2,Zn-1,0.03776094581693961,14.894796061602214,17640.77950048206,[ 5.06504806 10.61685325 13.71851876],0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,Zn-HHTP,H2S,40,batch_2,3,Zn-1,0.029233623231796266,15.045199263347538,17783.975708131627,[ 5.30060902 10.67718335 13.66126686],0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,Zn-HHTP,H2S,80,batch_2,0,Zn-1,0.049151101551878136,15.319440926664889,18676.207480414036,[ 5.94924137 11.1872183  13.98939719],0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,Zn-HHTP,H2S,80,batch_2,1,Zn-1,0.04496293376705318,14.971348811034996,18408.025477343544,[ 5.82111169 11.10940986 13.7484808 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,Zn-HHTP,H2S,80,batch_2,2,Zn-1,0.042496361884671936,14.361472596294492,17616.83506316934,[ 5.54095544 10.60209343 13.21722239],0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,Zn-HHTP,H2S,80,batch_2,3,Zn-1,0.0433281872902725,14.900667708615938,18590.460970136846,[ 5.99981842 11.1980189  13.7850386 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,Cu-HHTP,SO2,5,batch_2,0,Cu-1,0.004648321670885876,2.394037837809428,2883.5815158253367,[0.7289505  1.82146679 2.25544273],1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Cu-HHTP,SO2,5,batch_2,1,Cu-1,0.004667806987661549,2.107920032448332,2529.4576492689635,[0.65257613 1.61623367 1.94699074],1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Cu-HHTP,SO2,5,batch_2,2,Cu-1,0.003194425058445155,2.7962113322454334,3285.7368877463223,[0.82582712 2.01803333 2.63217637],1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Cu-HHTP,SO2,5,batch_2,3,Cu-1,0.004508525654784094,3.1146506367396913,3838.723802441975,[1.01922919 2.36372856 3.01464509],1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Cu-HHTP,SO2,10,batch_2,0,Cu-1,0.01269986248457617,7.50724727499451,8532.473417828402,[2.17821099 5.17189045 6.87051174],1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Cu-HHTP,SO2,10,batch_2,1,Cu-1,0.012824937325262336,7.727430055216977,8853.108493409489,[2.29294407 5.37129791 7.09069825],1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Cu-HHTP,SO2,10,batch_2,2,Cu-1,0.013443165686682091,8.089011242836788,9310.781514707425,[2.45485787 5.65149912 7.41135669],1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Cu-HHTP,SO2,10,batch_2,3,Cu-1,0.009377487123498703,6.903249460159544,7724.0809190477885,[3.10370174 6.76735332 8.66066553],1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Cu-HHTP,SO2,20,batch_2,0,Cu-1,0.03329336622562691,16.056547288717994,20690.639102618556,[ 6.65608951 12.59644529 15.2305091 ],1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Cu-HHTP,SO2,20,batch_2,1,Cu-1,0.0333173177922684,15.980950459357164,20570.4031213153,[ 6.59708823 12.51214743 15.17338021],1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Cu-HHTP,SO2,20,batch_2,2,Cu-1,0.03194747020199649,15.142581365241707,19386.169521787288,[ 6.22064942 11.70173698 14.38657734],1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Cu-HHTP,SO2,20,batch_2,3,Cu-1,0.0385947235741187,16.96702422682187,21492.64337011273,[ 6.90338695 12.9052537  16.0110408 ],1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Cu-HHTP,SO2,40,batch_2,0,Cu-1,0.08281994234100656,17.13821608869924,24354.362105645985,[ 9.16920735 14.80124835 16.61778129],1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Cu-HHTP,SO2,40,batch_2,1,Cu-1,0.07250164534041499,16.94058356997833,23766.484907377464,[ 8.76215306 14.47478777 16.37157376],1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Cu-HHTP,SO2,40,batch_2,2,Cu-1,0.06354590292478172,16.033736323246274,22251.173113937824,[ 8.0140345  13.61677122 15.45255197],1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Cu-HHTP,SO2,40,batch_2,3,Cu-1,0.07557271031418566,17.649758675467478,24707.4381578918,[ 9.0736597  15.05587744 17.04718374],1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Cu-HHTP,SO2,80,batch_2,0,Cu-1,0.0998730451204721,18.20730891158981,26917.229366188927,[11.19258239 16.01992473 17.64632484],1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Cu-HHTP,SO2,80,batch_2,1,Cu-1,0.09696964195549215,18.3092908768565,27076.8452501554,[11.22629531 16.15791976 17.74069155],1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Cu-HHTP,SO2,80,batch_2,2,Cu-1,0.10114732330659686,19.316236930063603,28514.4863144366,[11.81671928 17.00700537 18.69710263],1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Cu-HHTP,SO2,80,batch_2,3,Cu-1,0.09706106874027798,18.71955261584696,27652.095553526982,[11.46090286 16.49832244 18.12438418],1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Ni-HHTP,SO2,5,batch_2,0,Ni-2,0.08775523314924578,48.82895389735826,62798.76712896013,[18.06047841 39.87115887 46.73118771],0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,Ni-HHTP,SO2,5,batch_2,1,Ni-2,0.08007650054476914,48.54925064647768,62534.58330608317,[17.71862932 40.05159925 46.45194565],0.0,0.0,1.0,0.0,0.0,0.0,0.0
84,Ni-HHTP,SO2,5,batch_2,2,Ni-2,0.08660997244526694,47.33663554336611,61327.047118851726,[17.50114317 39.10898338 45.60004848],0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,Ni-HHTP,SO2,5,batch_2,3,Ni-2,0.09340767401205818,47.532303262847016,61620.57840210826,[18.01721077 39.38992593 45.29227761],0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,Ni-HHTP,SO2,10,batch_2,0,Ni-1,0.0361617203100557,21.844333569749534,25479.3492505236,[ 7.34107332 15.35921742 19.76424848],0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,Ni-HHTP,SO2,10,batch_2,1,Ni-1,0.03442549275705275,22.000324310249333,26613.82822517604,[ 7.70654665 16.16656461 20.48177311],0.0,1.0,0.0,0.0,0.0,0.0,0.0
88,Ni-HHTP,SO2,10,batch_2,2,Ni-1,0.03108709814732932,21.737195257439105,25816.64209498504,[ 7.30956411 15.69645817 20.02053007],0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,Ni-HHTP,SO2,10,batch_2,3,Ni-1,0.03860281180261101,21.85779036916655,25863.44396659751,[ 7.34847082 15.69169116 20.06446931],0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,Ni-HHTP,SO2,20,batch_2,0,Ni-1,0.17110655143468914,47.26984594649407,65994.15919314735,[24.79119853 39.80542882 45.38754461],0.0,1.0,0.0,0.0,0.0,0.0,0.0
91,Ni-HHTP,SO2,20,batch_2,1,Ni-1,0.20066650650936074,48.48856019293135,68301.66809970874,[26.37599451 40.98812271 46.46487001],0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,Ni-HHTP,SO2,20,batch_2,2,Ni-1,0.17446021152125293,47.590032410828236,66717.78357375562,[25.42307203 40.18550411 45.58081112],0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,Ni-HHTP,SO2,20,batch_2,3,Ni-1,0.18377756171655693,47.67066997484156,67190.03821280452,[25.67129358 40.49258058 45.81256284],0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,Ni-HHTP,SO2,40,batch_2,0,Ni-2,0.3565307976208792,55.329722589756265,82931.25947235475,[34.79000516 49.68707799 53.73110149],0.0,0.0,1.0,0.0,0.0,0.0,0.0
